epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,831.283,1.26206,0.6808,0.97892,0.89618,0.8389,0.855,0.53955,1.12426,0.49882,0.96503,0.00999374,0.00333125,0.00999374,0.00333125,0.00999374,0.00333125,0.00999374,0.00333125
2,1523.73,1.19146,0.55559,0.95163,0.90174,0.84106,0.86221,0.54472,1.10749,0.49403,0.96002,0.0190041,0.00633468,0.0190041,0.00633468,0.0190041,0.00633468,0.0190041,0.00633468
3,2202,1.19037,0.54683,0.95597,0.90512,0.84606,0.86325,0.55302,1.09028,0.48084,0.9574,0.0270244,0.00900812,0.0270244,0.00900812,0.0270244,0.00900812,0.0270244,0.00900812
4,2844.23,1.15218,0.52124,0.94755,0.90745,0.84803,0.87071,0.57145,1.06169,0.44675,0.94703,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
5,3487.83,1.10905,0.49422,0.93587,0.90858,0.85365,0.87802,0.58547,1.02696,0.44568,0.93549,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
6,4129.06,1.08117,0.47829,0.92806,0.9151,0.86171,0.88517,0.59887,1.01428,0.4161,0.93059,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
7,4770.55,1.05343,0.46291,0.92058,0.91649,0.86832,0.89041,0.60538,0.99019,0.4102,0.92204,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
8,5412.43,1.03127,0.45259,0.91469,0.91839,0.87391,0.8939,0.61626,0.96938,0.40475,0.91581,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
9,6054.23,1.00991,0.44031,0.90867,0.91775,0.87486,0.89388,0.61899,0.96016,0.3914,0.9126,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
10,6694.46,0.99303,0.4313,0.90501,0.91729,0.87816,0.8975,0.62559,0.94718,0.38442,0.90789,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
11,7329.12,0.97787,0.42084,0.92171,0.91939,0.87835,0.8978,0.62766,0.93689,0.38455,0.90565,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
12,7960.24,0.9588,0.41292,0.91507,0.92282,0.87871,0.89979,0.63506,0.91998,0.37947,0.90071,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
13,8591.9,0.93957,0.40326,0.90882,0.9227,0.8796,0.90031,0.64055,0.90521,0.37288,0.89614,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
14,9225.36,0.91828,0.39376,0.90302,0.92145,0.8805,0.90294,0.64498,0.8911,0.36461,0.89258,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
15,9858.26,0.89773,0.38426,0.89726,0.92465,0.88492,0.90564,0.64903,0.87712,0.35975,0.88859,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
16,10491.3,0.87619,0.37508,0.89171,0.92687,0.88578,0.9062,0.65249,0.86631,0.35433,0.88555,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
17,11122.3,0.85563,0.36648,0.88535,0.92436,0.88781,0.9071,0.65662,0.85334,0.35,0.88214,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
18,11752.9,0.8363,0.3568,0.88023,0.92655,0.88849,0.90767,0.66025,0.84489,0.34449,0.87986,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
19,12383.2,0.81297,0.34687,0.87531,0.92545,0.8896,0.90874,0.66227,0.83795,0.34099,0.87805,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
20,13014,0.79557,0.3385,0.87054,0.92592,0.89034,0.90935,0.66508,0.83241,0.33797,0.87673,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
